SITE NAME,CHRONOLOGY,SITE TYPE,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,URL,LATITUDE,LONGITUDE
"Benbecula, Suidheachadh Beag",Neolithic / Bronze Age,Stone Circle,"Chambered Cairn (Neolithic)",82479,855223,WESTERN ISLES,http://canmore.org.uk/site/10187,57.670713,-4.3656356
"North Uist, Ben Langass, Pobull Fhinn",Neolithic / Bronze Age,Stone Circle,,84274,865010,WESTERN ISLES,http://canmore.org.uk/site/10237,57.39383,-4.198974
"North Uist, Carinish",Neolithic / Bronze Age,Stone Circle,,83210,860210,WESTERN ISLES,http://canmore.org.uk/site/10249,57.415214,-4.3289784
"North Uist, Loch A' Phobuill, Sornach Coir' Fhinn",Neolithic / Bronze Age,Stone Circle,,82890,863030,WESTERN ISLES,http://canmore.org.uk/site/10269,57.420025,-4.2969739
"North Uist, Cringraval",Neolithic / Bronze Age,Stone Circle,,81161,864453,WESTERN ISLES,http://canmore.org.uk/site/10283,57.449288,-4.1928025
"Berneray, Sgalabraig",Neolithic / Bronze Age,Stone Circle,"Cairn (Period Unassigned), Cist (Period Unassigned)",91010,881550,WESTERN ISLES,http://canmore.org.uk/site/10495,57.074,-4.063532
"Berneray, Ruisgarry, Bruist",Neolithic / Bronze Age,Stone Circle,,92420,882880,WESTERN ISLES,http://canmore.org.uk/site/10496,57.40366,-4.1447959
"Skye, Borve, Clachan Erisco",Neolithic / Bronze Age,Stone Circle,,145190,848010,HIGHLAND,http://canmore.org.uk/site/11269,57.489282,-4.0368568
"Skye, Kilmuir",Neolithic / Bronze Age,Stone Circle(S),"Cairn(S) (Period Unassigned), Standing Stone(S) (Prehistoric)",144000,867000,HIGHLAND,http://canmore.org.uk/site/11369,57.478236,-4.0696017
"Skye, Pein-na-cille, Kilmuir",Neolithic / Bronze Age,Stone Circle,"Human Remains (Period Unassigned), Standing Stone(S) (Prehistoric)",144000,867000,HIGHLAND,http://canmore.org.uk/site/11370,57.473413,-4.0733316
"Skye, Strathaird, Na Clachan Bhreige",Neolithic / Bronze Age,Stone Circle,,154320,817680,HIGHLAND,http://canmore.org.uk/site/11437,57.47304,-4.0741444
"Skye, 'taynandruineach'",Neolithic / Bronze Age,Stone Circle(S),"Site (Period Unassigned)",172000,826000,HIGHLAND,http://canmore.org.uk/site/11675,57.472583,-4.0746188
Applecross,Neolithic / Bronze Age,Stone Circle,"Standing Stone (Prehistoric)",170000,840000,HIGHLAND,http://canmore.org.uk/site/11739,57.443133,-4.1219434
