source,target,km,days,expense,type
Donousa,Delos,72.208,0.404,0.04,coastal
Donousa,Kerea,100.976,0.408,0.041,coastal
Donousa,Kinaros,113.655,0.39,0.039,coastal
Ebusus,Palma,148.751,1.229,0.123,coastal
Ephesus,Athenae,367.978,2.749,0.275,coastal
Ephesus,Delos,212.307,1.442,0.144,coastal
Ephesus,Chios,134.778,1.174,0.117,coastal
Ephesus,Sigeion,382.369,2.802,0.28,coastal
Ephesus,Trogilion Pr.,46.841,0.254,0.025,coastal
Ephesus,Rhodos,242.042,1.178,0.118,coastal
Euesperides,Zacynthus,674.04,5.8,0.58,overseas
Euesperides,Ichthys Pr.,673.459,5.66,0.566,overseas
Ferentinum,Fregellanum,27.938,0.931,0.978,road
Ferentinum,Roma,70.543,2.351,2.469,road
Forum Appii,Tarracina,23.678,1.579,0.081,downstream
Forum Appii,Roma,68.622,2.287,2.402,road
Fregellanum,Ferentinum,27.938,0.931,0.978,road
Geraistos,Chalcis,131.473,1.115,0.111,coastal
Geraistos,Sounion Pr.,77.307,0.473,0.047,coastal
Geraistos,Demetrias,252.013,2.493,0.249,coastal
Geraistos,Andros,76.78,0.368,0.037,coastal
Geraistos,Selinous,193.346,1.847,0.185,coastal
Halicarnassus,Myndos,31.777,0.342,0.034,slowcoast
Halicarnassus,Kos,27.031,0.201,0.02,coastal
Halicarnassus,Cnidus,43.23,0.307,0.031,coastal
Hephaistia,Athos Mons,133.105,0.969,0.097,coastal
Horreum Margi,Naissus,82.708,2.757,2.895,road
Horreum Margi,Viminacium,92.801,3.093,3.248,road
Icaros,Chalcis,272.167,2.144,0.214,coastal
Icaros,Delos,95.53,0.585,0.059,coastal
Icaros,Samos,99.899,0.534,0.053,coastal
Icaros,Corseae,52.562,0.232,0.023,coastal
Icaros,Mykonos,91.035,0.519,0.052,coastal
Icaros,Tenos,107.497,0.681,0.068,coastal
Ichthys Pr.,Euesperides,667.493,3.364,0.336,overseas
Ichthys Pr.,Leucas,171.604,1.675,0.168,coastal
Ichthys Pr.,Zacynthus,44.243,0.406,0.041,coastal
Ilva,Aleria,102.157,0.796,0.08,coastal
Ilva,Populonium,53.106,0.423,0.042,coastal
Imbros,Athos Mons,167.46,1.096,0.11,coastal
Ios,Delos,91.941,0.749,0.075,coastal
Ios,Kimolos,101.921,0.677,0.068,coastal
Ios,Thera,50.182,0.201,0.02,coastal
Isthmia,Delos,218.326,1.184,0.118,coastal
Isthmia,Astypaleia,362.188,1.857,0.186,coastal
Isthmia,Skyllaion Pr.,129.053,0.473,0.047,coastal
Iuvavum,Ovilava,88.256,2.942,3.089,road
Iuvavum,Pons Aeni,85.744,2.858,3.001,road
Kadiston Mons,Astypaleia,173.506,1.219,0.122,coastal
Kadiston Mons,Samonion Pr.,52.418,0.349,0.035,coastal
Kadiston Mons,Thera,147.176,1.365,0.136,coastal
Kerea,Samos,168.673,1.09,0.109,coastal
Kerea,Amorgos,37.028,0.151,0.015,coastal
Kerea,Donousa,100.976,0.647,0.065,coastal
Kimolos,Delos,112.09,0.724,0.072,coastal
Kimolos,Ios,102.051,0.517,0.052,coastal
Kimolos,Siphnos,37.107,0.212,0.021,coastal
Kinaros,Astypaleia,51.15,0.139,0.014,coastal
Kinaros,Amorgos,55.058,0.202,0.02,coastal
Kinaros,Donousa,113.655,0.69,0.069,coastal
Kinaros,Lebinthos,51.226,0.199,0.02,coastal
Kinaros,Patmos,105.381,0.604,0.06,coastal
Kos,Delos,226.227,1.932,0.193,coastal
Kos,Samos,109.842,1.062,0.106,coastal
Kos,Myndos,34.307,0.36,0.036,coastal
Kos,Cnidus,29.334,0.231,0.023,coastal
Kos,Halicarnassus,27.031,0.206,0.021,coastal
Kos,Rhodos,119.749,0.64,0.064,coastal
Kos,Leros,396.829,3.34,0.334,coastal
Krane,Leucas,107.478,0.689,0.069,coastal
Krane,Zacynthus,81.012,0.292,0.029,coastal
Kriou Metopon,Samonion Pr.,314.476,2.096,0.21,coastal
Larissa,Thessalonica,152.729,5.091,5.346,road
Lauriacum,Cetium,99.544,3.318,3.484,road
Lauriacum,Ovilava,38.928,1.298,1.362,road
Lauriacum,Vindobona,182.409,1.52,0.62,fastdown
Lauriacum,Boiodurum,110.789,2.216,0.753,fastup
Lebinthos,Kinaros,51.226,0.17,0.017,coastal
Lebinthos,Leros,301.206,2.492,0.249,coastal
Leros,Myndos,367.359,2.062,0.206,coastal
Leros,Kos,396.829,2.201,0.22,coastal
Leros,Lebinthos,301.206,1.679,0.168,coastal
Leros,Patmos,295.275,1.624,0.162,coastal
Leucas,Nicopolis,25.416,0.226,0.023,coastal
Leucas,Ichthys Pr.,171.604,0.894,0.089,coastal
Leucas,Krane,107.478,0.431,0.043,coastal
Lindum,Mouth of Witham,53.122,0.817,0.181,downstream
Maiensis Statio,Pons Drusi,25.576,0.853,0.895,road
Maiensis Statio,Abodiacum,225.368,7.512,7.888,road
Mariana,Toletum,177.724,5.924,6.22,road
Miletus,Myndos,60.79,0.261,0.026,coastal
Mouth of Witham,Lindum,53.122,1.062,0.361,fastup
Mouth of Witham,Petuaria,182.809,1.32,0.132,coastal
Mouth of Witham,Venta Icenorum,191.828,0.988,0.099,coastal
Mykonos,Rheneia,28.437,0.133,0.013,coastal
Mykonos,Icaros,91.035,0.501,0.05,coastal
Myndos,Athenae,374.068,3.167,0.317,coastal
Myndos,Sounion Pr.,319.4,2.62,0.262,coastal
Myndos,Kos,34.307,0.272,0.027,slowcoast
Myndos,Halicarnassus,31.777,0.236,0.024,coastal
Myndos,Bargylia,36.732,0.249,0.025,coastal
Myndos,Rhodos,135.13,0.864,0.086,coastal
Myndos,Leros,367.359,3.106,0.311,coastal
Myndos,Miletus,60.79,0.559,0.056,coastal
Naissus,Horreum Margi,82.708,2.757,2.895,road
Narnia,Ocriculum,13.065,0.436,0.457,road
Naxos,Delos,39.431,0.343,0.034,coastal
Nicopolis,Leucas,25.416,0.178,0.018,coastal
Nisyros,Astypaleia,104.022,0.694,0.069,coastal
Nisyros,Cnidus,23.028,0.099,0.01,coastal
Nisyros,Rhodos,114.597,0.571,0.057,coastal
Nisyros,Telos,58.562,0.184,0.018,coastal
Ocriculum,Narnia,13.065,0.436,0.457,road
Ocriculum,Roma,104.506,1.608,0.355,downstream
Ostia/Portus,Cosa,131.662,1.135,0.113,coastal
Ostia/Portus,Puteoli,213.552,1.386,0.139,coastal
Ostia/Portus,Tarracina,125.463,0.862,0.086,coastal
Ostia/Portus,Caralis,432.794,3.04,0.304,overseas
Ostia/Portus,Palinurus Pr.,317.835,2.024,0.202,coastal
Ostia/Portus,Roma,28.839,2.884,0.196,upstream
Ovilava,Iuvavum,88.256,2.942,3.089,road
Ovilava,Lauriacum,38.928,1.298,1.362,road
Ovilava,Virunum,203.948,6.798,7.138,road
Ovilava,Boiodurum,70.022,2.334,2.451,road
Palinurus Pr.,Ostia/Portus,317.835,2.619,0.262,coastal
Palinurus Pr.,Puteoli,115.546,0.961,0.096,coastal
Palinurus Pr.,Regium,270.492,1.706,0.171,coastal
Palma,Tarraco,257.98,1.605,0.16,overseas
Palma,Ebusus,148.751,0.914,0.091,coastal
Palma,Caralis,736.23,5.012,0.501,overseas
Paraetonium,Alexandria,267.339,1.644,0.164,coastal
Paraetonium,Potidaion,465.407,4.313,0.431,overseas
Parthanum,Veldidena,52.83,1.761,1.849,road
Parthanum,Abodiacum,65.681,2.189,2.299,road
Patara,Alexandria,609.044,2.953,0.295,overseas
Patara,Rhodos,107.373,0.883,0.088,coastal
Patara,Caunus,102.676,0.983,0.098,coastal
Patmos,Delos,124.627,0.865,0.086,coastal
Patmos,Samos,61.821,0.347,0.035,coastal
Patmos,Kinaros,105.381,0.438,0.044,coastal
Patmos,Leros,295.275,2.274,0.227,coastal
Pella,Thessalonica,41.609,1.387,1.456,road
Petuaria,Mouth of Witham,182.809,1.196,0.12,coastal
Pisae,Cosa,195.869,1.3,0.13,coastal
Pisae,Populonium,96.778,0.671,0.067,coastal
Pons Aeni,Augusta Vindelicum,126.177,4.206,4.416,road
